Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,34455,1012,21254,12189,4,2,38,2.94,61.69,4.76,33190,1265,3.81,Eastern Mediterranean
Algeria,19689,1018,14019,4652,494,7,276,5.17,71.2,7.26,16404,3285,20.03,Africa
Argentina,103265,1903,44173,57189,3099,58,1479,1.84,42.78,4.31,80447,22818,28.36,Americas
Australia,10251,108,7835,2308,271,0,66,1.05,76.43,1.38,8755,1496,17.09,Western Pacific
Bangladesh,186894,2391,98317,86186,3099,39,4703,1.28,52.61,2.43,165618,21276,12.85,South-East Asia
Belgium,62707,9782,17196,35729,0,0,0,15.6,27.42,56.89,62058,649,1.05,Europe
Brazil,1884967,72833,1291251,520883,20286,733,26408,3.86,68.5,5.64,1623284,261683,16.12,Americas
Canada,109971,8835,0,101136,636,7,0,8.03,0.0,inf,107802,2169,2.01,Americas
Chile,317657,7024,286556,24077,2616,45,2654,2.21,90.21,2.45,298557,19100,6.4,Americas
China,85117,4641,76847,3629,0,0,0,5.45,90.28,6.04,84889,228,0.27,Western Pacific
Colombia,150445,5634,63451,81360,5083,208,2265,3.74,42.18,8.88,117412,33033,28.13,Americas
Denmark,13225,610,12318,297,91,1,53,4.61,93.14,4.95,13066,159,1.22,Europe
Egypt,83001,3935,24975,54091,931,77,556,4.74,30.09,15.76,76222,6779,8.89,Eastern Mediterranean
Ethiopia,7766,128,2430,5208,206,1,0,1.65,31.29,5.27,5846,1920,32.84,Africa
France,209640,30032,78722,100886,1625,25,209,14.33,37.55,38.15,205597,4043,1.97,Europe
Germany,200180,9074,185100,6006,261,3,686,4.53,92.47,4.9,198064,2116,1.07,Europe
Ghana,24988,139,21067,3782,470,0,880,0.56,84.31,0.66,21077,3911,18.56,Africa
Honduras,28579,789,3123,24667,489,15,166,2.76,10.93,25.26,24665,3914,15.87,Americas
India,906752,23727,571460,311565,28498,553,17989,2.62,63.02,4.15,719664,187088,26.0,South-East Asia
Indonesia,76981,3656,36689,36636,1282,50,1051,4.75,47.66,9.96,64958,12023,18.51,South-East Asia
Iran,259652,13032,222539,24081,2349,203,2546,5.02,85.71,5.86,243051,16601,6.83,Eastern Mediterranean
Iraq,79735,3250,46998,29487,2229,100,2274,4.08,58.94,6.92,62275,17460,28.04,Eastern Mediterranean
Ireland,25638,1746,23364,528,10,0,0,6.81,91.13,7.47,25531,107,0.42,Europe
Israel,40632,365,19395,20872,1962,3,387,0.9,47.73,1.88,30749,9883,32.14,Europe
Italy,243230,34967,195106,13157,169,13,178,14.38,80.21,17.92,241819,1411,0.58,Europe
Japan,22125,984,18058,3083,284,1,213,4.45,81.62,5.45,19848,2277,11.47,Western Pacific
Kazakhstan,61755,375,35911,25469,3502,0,2097,0.61,58.15,1.04,49683,12072,24.3,Europe
Kenya,10294,197,2946,7151,189,12,65,1.91,28.62,6.69,8067,2227,27.61,Africa
Kuwait,55508,393,45356,9759,614,3,746,0.71,81.71,0.87,50644,4864,9.6,Eastern Mediterranean
Kyrgyzstan,11444,149,3538,7757,327,2,78,1.3,30.92,4.21,8141,3303,40.57,Europe
Malaysia,8725,122,8520,83,7,0,1,1.4,97.65,1.43,8668,57,0.66,Western Pacific
Maldives,2762,13,2290,459,31,0,6,0.47,82.91,0.57,2491,271,10.88,South-East Asia
Mexico,304435,35491,240101,28843,4685,485,5196,11.66,78.87,14.78,261750,42685,16.31,Americas
Netherlands,51301,6156,186,44959,71,0,0,12.0,0.36,3309.68,50863,438,0.86,Europe
Nigeria,33153,744,13671,18738,595,4,224,2.24,41.24,5.44,29286,3867,13.2,Africa
Norway,8984,253,8138,593,3,1,0,2.82,90.58,3.11,8936,48,0.54,Europe
Pakistan,253604,5320,170656,77628,1979,54,8739,2.1,67.29,3.12,234509,19095,8.14,Eastern Mediterranean
Panama,47173,932,23919,22322,1540,23,880,1.98,50.7,3.9,39334,7839,19.93,Americas
Peru,330123,12054,221008,97061,3797,184,3897,3.65,66.95,5.45,305703,24420,7.99,Americas
Philippines,57006,1599,20371,35036,747,65,4325,2.8,35.73,7.85,46333,10673,23.04,Western Pacific
Poland,38190,1576,27515,9099,299,5,367,4.13,72.05,5.73,36155,2035,5.63,Europe
Portugal,46818,1662,31065,14091,306,2,158,3.55,66.35,5.35,44129,2689,6.09,Europe
Qatar,104016,149,100627,3240,418,2,884,0.14,96.74,0.15,100345,3671,3.66,Eastern Mediterranean
Romania,32948,1901,21692,9355,413,17,147,5.77,65.84,8.76,29223,3725,12.75,Europe
Russia,732547,11422,503168,217957,6511,104,2960,1.56,68.69,2.27,686852,45695,6.65,Europe
Saudi Arabia,235111,2243,169842,63026,2852,20,2704,0.95,72.24,1.32,213716,21395,10.01,Eastern Mediterranean
Serbia,18639,405,13940,4294,279,12,64,2.17,74.79,2.91,16420,2219,13.51,Europe
Singapore,46283,26,42541,3716,322,0,256,0.06,91.91,0.06,44983,1300,2.89,Western Pacific
South Africa,287796,4172,138241,145383,11554,93,3367,1.45,48.03,3.02,205721,82075,39.9,Africa
South Korea,13512,289,12282,941,33,0,78,2.14,90.9,2.35,13181,331,2.51,Western Pacific
Spain,255953,28406,150376,77171,2045,3,0,11.1,58.75,18.89,251789,4164,1.65,Europe
Sri Lanka,2646,11,1981,654,29,0,0,0.42,74.87,0.56,2077,569,27.4,South-East Asia
Sweden,75826,5536,0,70290,928,10,0,7.3,0.0,inf,73061,2765,3.78,Europe
Switzerland,32946,1968,29600,1378,63,0,0,5.97,89.84,6.65,32315,631,1.95,Europe
Turkey,214001,5382,195671,12948,1008,19,1156,2.51,91.43,2.75,206844,7157,3.46,Europe
US,3363056,135605,1031939,2195512,58114,400,25613,4.03,30.68,13.14,2936077,426979,14.54,Americas
Ukraine,55285,1415,27356,26514,638,15,385,2.56,49.48,5.17,50053,5232,10.45,Europe
United Arab Emirates,55198,334,45513,9351,344,1,373,0.61,82.45,0.73,52068,3130,6.01,Eastern Mediterranean
United Kingdom,291691,44915,1384,245392,537,11,6,15.4,0.47,3245.3,287290,4401,1.53,Europe
